"gene1","max","min","spread","rms_mean"
1,0.4156698552964371,0.41560681038638125,0.00006304491005582058,0.00003697293870220247
2,0.4157754267861227,0.41550782224582233,0.0002676045403003924,0.00013475909359526048
3,0.4156810985514539,0.41564911987012576,0.00003197868132814863,0.000017641689451031374
4,0.41566796674263096,0.41565239351014815,0.000015573232482801735,8.18592249018869e-6
5,0.4156810718942744,0.4155115692727806,0.00016950262149378892,0.00010461670385868244
6,0.4157432993625464,0.41546213295752427,0.0002811664050221263,0.0001509366642219404
7,0.41578509739634356,0.4155986449315621,0.00018645246478143918,0.0000993070940357526
8,0.4161150071839034,0.41529924204431723,0.0008157651395861443,0.0004108715933237348
9,0.4366158500596333,0.4129189622827267,0.02369688777690665,0.014945674792644432
10,0.41607549306595526,0.41503374955158184,0.0010417435143734166,0.0005309644628182102
11,0.41566611258916086,0.41556179152556294,0.00010432106359792304,0.00006804880124018917
12,0.41580692560270416,0.4156034005985101,0.0002035250041940717,0.00011230609020607741
13,0.4156610352750884,0.41554947835852846,0.0001115569165599517,0.00007652954548927079
14,0.41623252440038394,0.41494709293065113,0.0012854314697328117,0.0006462867753922334
15,0.41574394187538827,0.41562901750657205,0.00011492436881621604,0.00006428673676100809
16,0.41575924763586347,0.41565035734282685,0.00010889029303662312,0.00007202215585033052
17,0.42291634201906464,0.40323832836624796,0.019678013652816684,0.010171730626133461
18,0.4157768715991406,0.4156318450324553,0.00014502656668530234,0.00008625199635996011
19,0.4156914917754235,0.41559763931247246,0.00009385246295107175,0.00004871751633369814
20,0.4157820839927742,0.41556005803173574,0.0002220259610384856,0.00011182074989658532
21,0.4158932421357569,0.41543710210568635,0.00045614003007055093,0.0002281938733557141
22,0.4157260758504132,0.4155791888314266,0.00014688701898663004,0.00007361503152914506
23,0.4159088952506284,0.4154552767252675,0.0004536185253609104,0.00022812130759386026
24,0.4157918842111944,0.41559035977366376,0.00020152443753063132,0.00010617479202411647
25,0.4157581972443392,0.4155080604549367,0.0002501367894024997,0.00012745045772142774
26,0.41568960902167257,0.41559918548839114,0.00009042353328142516,0.00004711542072964967
27,0.4157915283784048,0.4155815730132736,0.00020995536513118696,0.00010888201962762287
28,0.41894965228017955,0.4069780529924918,0.011971599287687762,0.006564020625193327
29,0.4158412380887,0.41544508896551396,0.00039614912318602924,0.00019860394041032697
30,0.41567873291552493,0.41565362852798654,0.000025104387538388284,0.000015174028546118627
31,0.4158376612069536,0.41559663361122295,0.00024102759573063626,0.00013439851780175762
32,0.41575446234467334,0.41565236601261885,0.00010209633205449098,0.0000685554371928389
33,0.4157478744723829,0.41547517804621475,0.0002726964261681175,0.00014393979783904236
34,0.41577175836833224,0.41562895348458656,0.00014280488374568412,0.00008319679131752593
35,0.4157265714968676,0.41553088169558333,0.00019568980128426006,0.00010203165186287393
36,0.41566519449503064,0.41565440339305676,0.000010791101973883777,5.806021485454323e-6
37,0.4158640017083604,0.41551762947254783,0.00034637223581257537,0.00017633229466137586
38,0.4171958176047099,0.41426612540006896,0.0029296922046409546,0.0014666797406138728
39,0.41584789386577187,0.4155648827707815,0.0002830110949903486,0.00014966224819254508
40,0.4156604281273222,0.4156495654763668,0.000010862650955401065,6.04678053094103e-6
41,0.4157417061597214,0.41563945485346165,0.00010225130625973744,0.000060810716017121566
42,0.4157216018085804,0.41564141864475024,0.00008018316383018309,0.00004665214429409526
43,0.41580234778551234,0.4155403204384495,0.00026202734706282094,0.0001317258889123345
44,0.41566160883523323,0.4156598535226438,1.7553125894465005e-6,3.1992488746508777e-6
45,0.41568366175328514,0.41555420864870046,0.00012945310458467585,0.00007542362880496238
46,0.4156929151490887,0.4155910719771854,0.00010184317190325975,0.0000532754930131324
47,0.41569764413323196,0.41564707236582804,0.000050571767403917445,0.000029250148581995973
48,0.4159103052734621,0.4154529467397194,0.0004573585337427355,0.0002299322337514944
49,0.4157739136639255,0.41563203671780335,0.00014187694612216584,0.00008417966888326154
50,0.4157260621402162,0.41564812662517775,0.00007793551503842977,0.000048838333947673194
51,0.41568870638199096,0.41554294722527785,0.00014575915671311002,0.0000840297760962447
52,0.4156729469453444,0.41563950110918824,0.00003344583615616514,0.00001678400205853031
53,0.4157502651592589,0.4156562468207632,0.00009401833849570496,0.0000654930718646015
54,0.4156604872649335,0.4156275475405828,0.00003293972435070014,0.000021382969703408357
55,0.41591490439872464,0.4154124980018327,0.000502406396891919,0.00025127595875607043
56,0.4158002776359429,0.41545885878142097,0.00034141885452193543,0.00017300450229559887
57,0.4157739382967086,0.4156000341246363,0.00017390417207230335,0.00009176603182600829
58,0.41577047332604733,0.4152866876511563,0.0004837856748910463,0.00027417565332933023
59,0.41578473740730243,0.41561100683684604,0.0001737305704563874,0.00009572367158420435
60,0.41570186561660566,0.415656137364383,0.00004572825222265431,0.00003128026608746937
61,0.4157389124364891,0.41563923780772827,0.00009967462876081523,0.00005891521681162918
62,0.41570907138190977,0.41556097921689744,0.0001480921650123257,0.0000774268087120819
63,0.41565931777142,0.41558937510773736,0.0000699426636826539,0.00004829526068424485
64,0.41578973356362514,0.4153113916329537,0.00047834193067142206,0.0002620524037095978
65,0.415671879999551,0.41561593100627836,0.000055948993272658676,0.00003117069188885727
66,0.41578924241952203,0.41559040560423055,0.000198836815291481,0.00010449347536336125
67,0.4157922544771761,0.4156517700064576,0.000140484470718516,0.00009526735429490024
68,0.4289818209268845,0.40886415055587666,0.020117670371007867,0.010575563923533211
69,0.41574193090219413,0.4154219545098295,0.00031997639236464037,0.00017699865613118269
70,0.41585585341970144,0.41548372811223006,0.0003721253074713826,0.00018645802734749108
71,0.41566100690501345,0.41555329128527924,0.00010771561973421662,0.0000738341159898769
72,0.4157117198089213,0.41565602479082914,0.00005569501809216115,0.00003824719497649447
73,0.4179232794341018,0.4142236758655473,0.003699603568554477,0.0018959629195779192
74,0.41566087864891493,0.4156007503327798,0.000060128316135110715,0.000040301969789452105
75,0.4156662795068879,0.41561644977049517,0.00004982973639272581,0.000029767696382667102
76,0.4157812612984189,0.41551289602023117,0.00026836527818774325,0.00013459878386130753
77,0.4157413478966252,0.41555495369114703,0.00018639420547816865,0.00009368043340542678
78,0.41569505380278504,0.4156394586734377,0.00005559512934733002,0.00002940909262930138
79,0.4157196864100002,0.4155349017903139,0.00018478461968629567,0.00009725277921301324
80,0.41577486110860384,0.4156201735766141,0.00015468753198971674,0.00008701201570818387
81,0.41577486110860384,0.4156201735766141,0.00015468753198971674,0.00008701201570818387
82,0.4156746579550616,0.4155432725319577,0.00013138542310386914,0.00008176914158350101
83,0.41567935308365556,0.4155202610976376,0.00015909198601793406,0.00009835602338765937
84,0.41572420147356975,0.4154438112046027,0.00028039026896703456,0.00015836272366493163
85,0.4157478337081517,0.4155252698220512,0.00022256388610053524,0.00011326519062001677
86,0.4159088952506284,0.4154552767252675,0.0004536185253609104,0.00022812130759386026
87,0.4159088952506284,0.4154552767252675,0.0004536185253609104,0.00022812130759386026
88,0.41581572132077127,0.4154828280464107,0.0003328932743605906,0.00016665745463599835
89,0.4158552263057516,0.4154754780924438,0.00037974821330782893,0.00019003007221410296
90,0.41581779098079263,0.41559669684536055,0.00022109413543208722,0.00012116000701075993
91,0.4157080671397662,0.41551417375747435,0.00019389338229186537,0.00010753648032059544
92,0.4157125330534047,0.4155721273276476,0.00014040572575713117,0.00007185597817779503
93,0.415757640232446,0.4154627495373789,0.0002948906950671071,0.00015489532473370862
94,0.4156696141633381,0.41562476133215814,0.00004485283117994232,0.000024748748630740103
